Fecha,Prediccion_NN
2012-01-01,732.4325
2012-01-02,737.9391
2012-01-03,743.6737
2012-01-04,749.7095
2012-01-05,755.8767
2012-01-06,762.1779
2012-01-07,768.65436
2012-01-08,775.467
2012-01-09,782.2797
2012-01-10,789.09283
2012-01-11,795.90607
2012-01-12,802.7214
2012-01-13,809.5457
2012-01-14,816.3701
2012-01-15,823.19446
2012-01-16,830.01886
2012-01-17,836.8433
2012-01-18,843.6678
2012-01-19,850.4924
2012-01-20,857.3171
2012-01-21,864.1419
2012-01-22,870.9666
2012-01-23,877.7911
2012-01-24,884.6154
2012-01-25,891.43915
2012-01-26,898.2617
2012-01-27,905.08405
2012-01-28,911.9061
2012-01-29,918.7284
2012-01-30,925.5506
2012-01-31,932.37274
2012-02-01,736.2549
2012-02-02,741.9141
2012-02-03,747.793
2012-02-04,753.9605
2012-02-05,760.1951
2012-02-06,766.5934
2012-02-07,773.3505
2012-02-08,780.1632
2012-02-09,786.9762
2012-02-10,793.78937
2012-02-11,800.60284
2012-02-12,807.4252
2012-02-13,814.2497
2012-02-14,821.07404
2012-02-15,827.89844
2012-02-16,834.7229
2012-02-17,841.5474
2012-02-18,848.37177
2012-02-19,855.1965
2012-02-20,862.02124
2012-02-21,868.84595
2012-02-22,875.6705
2012-02-23,882.49493
2012-02-24,889.31915
2012-02-25,896.1419
2012-02-26,902.9643
2012-02-27,909.78644
2012-02-28,916.6087
2012-02-29,923.43085
2012-03-01,740.15717
2012-03-02,745.9594
2012-03-03,752.0443
2012-03-04,758.2126
2012-03-05,764.57446
2012-03-06,771.2341
2012-03-07,778.04663
2012-03-08,784.85944
2012-03-09,791.67267
2012-03-10,798.486
2012-03-11,805.3048
2012-03-12,812.1292
2012-03-13,818.95355
2012-03-14,825.7779
2012-03-15,832.60236
2012-03-16,839.42694
2012-03-17,846.25134
2012-03-18,853.07587
2012-03-19,859.90063
2012-03-20,866.7253
2012-03-21,873.54987
2012-03-22,880.37427
2012-03-23,887.19867
2012-03-24,894.02203
2012-03-25,900.84454
2012-03-26,907.6668
2012-03-27,914.489
2012-03-28,921.3112
2012-03-29,928.13336
2012-03-30,934.95544
2012-03-31,941.7777
2012-04-01,744.2
2012-04-02,750.1281
2012-04-03,756.2949
2012-04-04,762.5919
2012-04-05,769.11755
2012-04-06,775.9301
2012-04-07,782.743
2012-04-08,789.55597
2012-04-09,796.3692
2012-04-10,803.18463
2012-04-11,810.0087
2012-04-12,816.8331
2012-04-13,823.65753
2012-04-14,830.482
2012-04-15,837.30646
2012-04-16,844.1309
2012-04-17,850.9554
2012-04-18,857.77997
2012-04-19,864.6047
2012-04-20,871.42926
2012-04-21,878.2537
2012-04-22,885.07806
2012-04-23,891.9024
2012-04-24,898.7248
2012-04-25,905.54694
2012-04-26,912.3692
2012-04-27,919.19135
2012-04-28,926.0136
2012-04-29,932.83575
2012-04-30,939.658
