Fecha,Prediccion_NN
2018-01-01,734.5876
2018-01-02,740.09235
2018-01-03,745.827
2018-01-04,751.85767
2018-01-05,758.02496
2018-01-06,764.3226
2018-01-07,770.7901
2018-01-08,777.6018
2018-01-09,784.4145
2018-01-10,791.2276
2018-01-11,798.0409
2018-01-12,804.8558
2018-01-13,811.68
2018-01-14,818.5044
2018-01-15,825.3287
2018-01-16,832.15326
2018-01-17,838.9777
2018-01-18,845.8022
2018-01-19,852.62665
2018-01-20,859.4514
2018-01-21,866.2762
2018-01-22,873.1009
2018-01-23,879.9254
2018-01-24,886.74976
2018-01-25,893.57367
2018-01-26,900.39624
2018-01-27,907.21857
2018-01-28,914.0408
2018-01-29,920.86285
2018-01-30,927.6851
2018-01-31,934.50726
2018-02-01,738.4101
2018-02-02,744.0668
2018-02-03,749.9412
2018-02-04,756.1087
2018-02-05,762.34
2018-02-06,768.7343
2018-02-07,775.4853
2018-02-08,782.29803
2018-02-09,789.11096
2018-02-10,795.92413
2018-02-11,802.7376
2018-02-12,809.55963
2018-02-13,816.384
2018-02-14,823.2084
2018-02-15,830.0328
2018-02-16,836.8573
2018-02-17,843.6817
2018-02-18,850.5062
2018-02-19,857.3307
2018-02-20,864.1556
2018-02-21,870.9803
2018-02-22,877.80493
2018-02-23,884.6292
2018-02-24,891.4535
2018-02-25,898.2764
2018-02-26,905.0988
2018-02-27,911.92096
2018-02-28,918.7432
2018-03-01,742.3099
2018-03-02,748.1116
2018-03-03,754.1925
2018-03-04,760.3593
2018-03-05,766.71924
2018-03-06,773.36884
2018-03-07,780.1815
2018-03-08,786.9942
2018-03-09,793.80743
2018-03-10,800.6208
2018-03-11,807.43915
2018-03-12,814.26355
2018-03-13,821.08795
2018-03-14,827.91235
2018-03-15,834.73676
2018-03-16,841.5612
2018-03-17,848.3858
2018-03-18,855.21027
2018-03-19,862.035
2018-03-20,868.8597
2018-03-21,875.6842
2018-03-22,882.5087
2018-03-23,889.333
2018-03-24,896.1567
2018-03-25,902.9791
2018-03-26,909.8013
2018-03-27,916.6235
2018-03-28,923.4456
2018-03-29,930.2679
2018-03-30,937.09015
2018-03-31,943.91223
2018-04-01,746.3521
2018-04-02,752.2763
2018-04-03,758.4432
2018-04-04,764.73663
2018-04-05,771.2523
2018-04-06,778.06494
2018-04-07,784.8776
2018-04-08,791.69073
2018-04-09,798.504
2018-04-10,805.3189
2018-04-11,812.1431
2018-04-12,818.96747
2018-04-13,825.79193
2018-04-14,832.6164
2018-04-15,839.44073
2018-04-16,846.2652
2018-04-17,853.08966
2018-04-18,859.91437
2018-04-19,866.739
2018-04-20,873.56354
2018-04-21,880.388
2018-04-22,887.21246
2018-04-23,894.0368
2018-04-24,900.8593
2018-04-25,907.68146
2018-04-26,914.5037
2018-04-27,921.32587
2018-04-28,928.14813
2018-04-29,934.97034
2018-04-30,941.7924
2018-05-01,750.41534
2018-05-02,756.5269
2018-05-03,762.75397
2018-05-04,769.1795
2018-05-05,775.94855
2018-05-06,782.76117
2018-05-07,789.57404
2018-05-08,796.38727
2018-05-09,803.2006
2018-05-10,810.02264
2018-05-11,816.84705
2018-05-12,823.67145
2018-05-13,830.49585
2018-05-14,837.32025
2018-05-15,844.1447
2018-05-16,850.9693
2018-05-17,857.7937
2018-05-18,864.61835
2018-05-19,871.44293
2018-05-20,878.2676
2018-05-21,885.09186
2018-05-22,891.9163
2018-05-23,898.7396
2018-05-24,905.5618
2018-05-25,912.38403
2018-05-26,919.20624
2018-05-27,926.0284
2018-05-28,932.8505
2018-05-29,939.6727
2018-05-30,946.49493
2018-05-31,953.3172
2018-06-01,754.6108
2018-06-02,760.7775
2018-06-03,767.13324
2018-06-04,773.832
2018-06-05,780.64465
2018-06-06,787.45746
2018-06-07,794.27045
2018-06-08,801.0839
2018-06-09,807.9022
2018-06-10,814.7267
2018-06-11,821.55096
2018-06-12,828.3755
2018-06-13,835.1998
2018-06-14,842.02423
2018-06-15,848.8488
2018-06-16,855.6733
2018-06-17,862.49774
2018-06-18,869.3223
2018-06-19,876.1469
2018-06-20,882.9714
2018-06-21,889.7956
2018-06-22,896.6198
2018-06-23,903.4421
2018-06-24,910.26434
2018-06-25,917.08636
2018-06-26,923.90875
2018-06-27,930.7309
2018-06-28,937.55304
2018-06-29,944.3752
2018-06-30,951.19745
